Time (milliseconds),time,accelleration,x_accelleration,y_accelleration,z_accelleration,altitude
433064,433.036,10.11997,7.0632,6.90624,-2.19744,416.6787
433100,433.072,11.34572,7.848001,7.848001,-2.3544,416.7711
433136,433.108,9.950571,7.37712,5.80752,-3.29616,416.602
433172,433.144,10.77093,7.53408,7.22016,-2.66832,416.6787
433244,433.216,9.950571,7.0632,5.80752,-3.924,416.7711
433280,433.252,10.28058,7.691041,6.2784,-2.66832,416.6787
433316,433.288,10.20602,7.53408,6.2784,-2.82528,417.1807
433353,433.324,10.39379,7.53408,6.43536,-3.1392,416.6787
433424,433.396,10.68827,7.53408,6.74928,-3.45312,416.9376
433460,433.432,10.75377,7.691041,6.59232,-3.61008,417.1596
433496,433.468,10.39023,7.37712,6.74928,-2.82528,416.5095
433533,433.504,9.976534,7.22016,6.2784,-2.82528,416.6787
433569,433.54,10.00736,7.37712,6.2784,-2.51136,416.602
433640,433.612,9.928263,7.22016,5.96448,-3.29616,417.0856
433676,433.648,9.168399,7.53408,4.39488,-2.82528,417.326
433713,433.684,10.41865,7.691041,6.12144,-3.45312,416.9191
433749,433.72,10.13456,7.691041,5.96448,-2.82528,416.0286
433820,433.792,10.74116,7.37712,6.74928,-3.924,416.5095
433856,433.828,10.63976,7.0632,7.691041,-2.04048,416.8451
433893,433.864,10.31885,7.53408,6.74928,-2.04048,416.7711
433928,433.9,10.10779,7.691041,6.12144,-2.3544,416.0286
433965,433.936,10.26979,7.22016,6.43536,-3.45312,416.6787
434037,434.008,10.09071,7.37712,6.2784,-2.82528,417.0856
434072,434.044,10.43637,7.848001,6.12144,-3.1392,416.5095
434109,434.08,10.31885,7.691041,6.12144,-3.1392,416.602
434146,434.116,10.26859,7.22016,6.59232,-3.1392,416.2691
434220,434.192,10.13456,7.22016,6.59232,-2.66832,417.4
434257,434.228,10.09437,7.22016,6.59232,-2.51136,416.7526
434293,434.264,10.31885,7.691041,6.12144,-3.1392,416.8451
434329,434.3,10.28058,7.37712,6.43536,-3.1392,416.602
434364,434.336,9.859787,7.0632,6.12144,-3.1392,416.7526
434437,434.408,9.709977,7.37712,5.17968,-3.61008,416.8451
434474,434.444,9.392715,7.0632,5.33664,-3.1392,416.7711
434513,434.484,8.404325,6.12144,5.4936,-1.72656,416.9191
434549,434.52,8.891477,6.59232,5.33664,-2.66832,417.0671
434621,434.592,9.950571,7.37712,5.80752,-3.29616,416.8451
434658,434.628,9.999966,7.37712,6.43536,-2.04048,416.1211
434697,434.668,10.61194,8.00496,6.43536,-2.66832,416.8451
434732,434.704,10.07483,7.848001,5.65056,-2.82528,416.8451
434768,434.74,10.12118,7.22016,6.43536,-2.98224,417.1596
434841,434.812,10.21447,7.0632,6.74928,-2.98224,416.3616
434878,434.848,9.838526,7.53408,5.80752,-2.51136,416.8451
434917,434.888,10.00982,7.0632,6.43536,-2.98224,416.7526
434952,434.924,10.55607,7.691041,6.43536,-3.29616,416.4356
435025,434.996,10.25058,7.53408,6.2784,-2.98224,416.2691
435061,435.032,10.06749,7.53408,6.12144,-2.66832,417.1596
435096,435.068,10.02211,7.22016,6.2784,-2.98224,416.4356
435132,435.104,10.26859,7.22016,6.59232,-3.1392,416.1951
435168,435.14,10.2217,7.22016,6.59232,-2.98224,416.2691
435242,435.212,9.507424,6.90624,5.96448,-2.66832,417.252
435281,435.252,9.953047,7.691041,5.65056,-2.82528,415.7882
435316,435.288,9.201926,7.0632,5.33664,-2.51136,416.9904
435353,435.324,10.49639,8.161921,5.96448,-2.82528,416.8451
435425,435.396,10.33317,7.37712,6.59232,-2.98224,416.5095
435460,435.432,10.21809,7.22016,6.43536,-3.29616,416.6787
435496,435.468,10.4281,7.37712,6.59232,-3.29616,416.1211
435532,435.504,10.27219,7.37712,6.74928,-2.3544,416.8451
435712,435.684,10.47877,7.37712,6.59232,-3.45312,416.2691
435749,435.72,10.13456,7.691041,5.96448,-2.82528,417.0856
435785,435.756,9.898441,7.37712,5.96448,-2.82528,417.0856
435820,435.792,9.552664,6.90624,5.96448,-2.82528,416.602
435856,435.828,9.847286,6.90624,6.2784,-3.1392,416.2691
435929,435.9,10.11022,7.53408,6.12144,-2.82528,416.8451
435965,435.936,10.22772,7.691041,6.12144,-2.82528,416.7526
435999,435.972,10.23374,7.37712,6.43536,-2.98224,416.6787
436039,436.008,10.32363,7.22016,6.74928,-2.98224,416.6787
436113,436.084,10.23374,7.37712,6.43536,-2.98224,416.824
436149,436.12,10.18306,7.37712,6.2784,-3.1392,417.0856
436183,436.156,10.2217,7.22016,6.59232,-2.98224,416.8451
436220,436.192,9.976534,7.22016,6.2784,-2.82528,416.9904
436256,436.228,10.03931,7.37712,6.12144,-2.98224,416.7526
436328,436.3,10.30332,7.53408,6.43536,-2.82528,416.602
436364,436.336,10.33317,7.37712,6.59232,-2.98224,417.4
436400,436.372,10.25058,7.53408,6.2784,-2.98224,417.0116
436436,436.408,10.02211,7.22016,6.2784,-2.98224,416.5095
436509,436.48,10.39379,7.53408,6.43536,-3.1392,416.9191
436545,436.516,10.4458,7.53408,6.59232,-2.98224,416.4356
436580,436.552,10.29734,7.53408,6.2784,-3.1392,416.2691
436616,436.588,10.34746,7.53408,6.43536,-2.98224,416.0286
436653,436.624,10.02211,7.22016,6.2784,-2.98224,416.0286
436724,436.696,11.4527,7.848001,7.848001,-2.82528,416.602
436760,436.732,9.0153,6.74928,5.17968,-2.98224,416.1951
436796,436.768,9.872273,6.90624,6.59232,-2.51136,416.2691
436833,436.804,9.345384,6.2784,5.80752,-3.76704,416.9191
436904,436.876,11.37175,8.475841,6.74928,-3.45312,416.7526
436940,436.912,10.75033,7.691041,6.74928,-3.29616,416.2691
436976,436.948,10.48347,7.848001,6.2784,-2.98224,415.7882
437013,436.984,9.877262,7.22016,5.96448,-3.1392,416.2691
437049,437.02,8.768713,5.65056,6.2784,-2.3544,416.7526
437120,437.092,9.142837,6.74928,5.96448,-1.5696,416.4356
437156,437.128,10.51632,7.691041,6.59232,-2.82528,416.4356
437193,437.164,10.67097,7.691041,7.0632,-2.19744,416.7526
437228,437.2,10.84388,7.691041,7.22016,-2.51136,416.9191
437300,437.272,9.482775,7.0632,5.4936,-3.1392,416.5095
437337,437.308,10.25178,7.53408,6.12144,-3.29616,416.4356
437372,437.344,10.24698,7.37712,6.59232,-2.66832,417.5691
