Time (milliseconds),time,accelleration,x_accelleration,y_accelleration,z_accelleration,temperature
1073545,1073.529,9.424138,-0.62784,-2.3544,9.103681,19
1073569,1073.553,9.538469,-0.62784,-2.19744,9.260641,19
1073592,1073.577,9.386156,-0.62784,-2.19744,9.103681,19
1073617,1073.601,9.682028,-0.47088,-2.19744,9.417601,19
1073642,1073.625,10.43991,-0.31392,-2.82528,10.04544,19
1073702,1073.685,10.5292,-0.31392,-3.1392,10.04544,19
1073724,1073.709,10.48347,-0.31392,-2.98224,10.04544,19
1073749,1073.733,9.98764,-0.31392,-2.82528,9.57456,19
1073774,1073.757,10.09559,-0.31392,-2.66832,9.731521,19
1073797,1073.781,9.899685,-0.15696,-2.51136,9.57456,19
1073858,1073.841,9.708709,-0.15696,-2.3544,9.417601,19
1073881,1073.865,9.596408,0.15696,-2.51136,9.260641,19
1073905,1073.889,9.823489,0.0,-2.19744,9.57456,19
1073929,1073.913,9.824743,0.15696,-2.19744,9.57456,19
1073989,1073.973,9.670571,0.0,-2.19744,9.417601,19
1074014,1073.997,9.217978,-0.31392,-2.19744,8.946721,19
1074037,1074.021,9.503537,-0.62784,-2.04048,9.260641,19
1074061,1074.045,9.471078,-0.62784,-1.88352,9.260641,19
1074085,1074.069,9.778243,-0.62784,-1.88352,9.57456,19
1074145,1074.129,10.29375,-0.47088,-2.19744,10.04544,19
1074170,1074.153,10.35936,-0.31392,-2.51136,10.04544,19
1074193,1074.177,9.689658,-0.47088,-1.41264,9.57456,19
1074217,1074.201,10.3653,-0.47088,-2.51136,10.04544,19
1074242,1074.225,9.718854,-0.47088,-2.3544,9.417601,19
1074305,1074.289,9.843533,-0.62784,-2.19744,9.57456,19
1074330,1074.313,10.02334,-0.47088,-2.3544,9.731521,19
1074353,1074.337,9.864783,-0.31392,-2.3544,9.57456,19
1074376,1074.361,10.0172,-0.31392,-2.3544,9.731521,19
1074437,1074.421,10.20723,-0.31392,-2.51136,9.88848,19
1074462,1074.445,10.3284,-0.47088,-2.3544,10.04544,19
1074485,1074.469,10.05525,-0.31392,-2.51136,9.731521,19
1074508,1074.493,9.903418,-0.31392,-2.51136,9.57456,19
1074533,1074.517,10.06137,-0.47088,-2.51136,9.731521,19
1074593,1074.577,10.13821,-0.31392,-2.82528,9.731521,19
1074617,1074.601,10.43991,-0.31392,-2.82528,10.04544,19
1074642,1074.625,10.67905,-0.31392,-3.1392,10.2024,19
1074665,1074.649,10.52569,-0.15696,-3.1392,10.04544,19
1074689,1074.673,10.18911,-0.47088,-2.98224,9.731521,19
1074750,1074.733,9.98764,-0.31392,-2.82528,9.57456,19
1074777,1074.761,10.03317,-0.31392,-2.98224,9.57456,19
1074801,1074.785,9.837274,-0.31392,-2.82528,9.417601,19
1074825,1074.809,10.02949,-0.15696,-2.98224,9.57456,19
1074885,1074.869,9.730255,-0.15696,-2.98224,9.260641,19
1074910,1074.893,9.779504,-0.15696,-3.1392,9.260641,19
1074933,1074.917,9.879757,-0.15696,-2.98224,9.417601,19
1074958,1074.941,9.734053,-0.31392,-2.98224,9.260641,19
1074981,1074.965,9.334832,-0.15696,-3.1392,8.789761,19
1075041,1075.025,9.927023,0.0,-3.1392,9.417601,19
1075065,1075.049,9.931985,-0.31392,-3.1392,9.417601,19
1075089,1075.073,9.779504,-0.15696,-3.1392,9.260641,19
1075114,1075.097,9.982706,-0.31392,-3.29616,9.417601,19
1075138,1075.121,9.982706,0.0,-2.82528,9.57456,19
1075197,1075.181,9.87851,0.0,-2.98224,9.417601,19
1075222,1075.205,9.833516,0.15696,-2.82528,9.417601,19
1075246,1075.229,9.734053,0.31392,-2.98224,9.260641,19
1075270,1075.253,10.02826,0.0,-2.98224,9.57456,19
1075292,1075.277,10.02826,0.0,-2.98224,9.57456,19
1075354,1075.337,10.12727,0.15696,-3.29616,9.57456,19
1075377,1075.361,10.02949,0.15696,-2.98224,9.57456,19
1075402,1075.385,9.580992,-0.15696,-2.98224,9.103681,19
1075425,1075.409,10.07727,-0.15696,-3.1392,9.57456,19
1075485,1075.469,9.793348,-0.31392,-2.66832,9.417601,19
1075510,1075.493,10.22652,-0.15696,-3.1392,9.731521,19
1075533,1075.517,10.23013,-0.31392,-3.1392,9.731521,19
1075558,1075.541,9.931985,-0.31392,-3.1392,9.417601,19
1075581,1075.565,10.13091,-0.31392,-3.29616,9.57456,19
1075642,1075.625,10.18306,-0.31392,-2.98224,9.731521,19
1075665,1075.649,10.13821,-0.31392,-2.82528,9.731521,19
1075690,1075.673,11.17176,-0.15696,-3.29616,10.67328,19
1075714,1075.697,13.50221,0.0,-4.08096,12.87072,19
1075738,1075.721,13.60672,-0.15696,-3.924,13.02768,19
1075917,1075.901,10.09193,-0.15696,-2.66832,9.731521,19
1075941,1075.925,10.13335,0.0,-2.82528,9.731521,19
1075968,1075.949,10.13335,0.0,-2.82528,9.731521,19
1075994,1075.977,12.92611,3.61008,2.04048,-12.24288,19
1076053,1076.037,79.91885,-14.9112,-5.4936,78.32304,19
1076077,1076.061,4.650892,1.41264,-1.72656,4.08096,19
1076101,1076.085,13.79195,-1.5696,-2.3544,13.49856,19
1076126,1076.109,9.144184,-1.41264,-1.25568,8.946721,19
1076149,1076.133,10.01228,-1.41264,-1.88352,9.731521,19
1076209,1076.193,9.948095,-1.5696,-2.19744,9.57456,19
1076233,1076.217,9.749227,-1.72656,-2.51136,9.260641,19
1076256,1076.241,9.34011,-1.41264,-2.82528,8.789761,19
1076281,1076.265,8.674082,-3.61008,-6.74928,-4.08096,19
1076305,1076.289,10.59218,-2.04048,-8.161921,6.43536,19
1076366,1076.35,10.54556,-0.47088,-4.39488,9.57456,19
1076393,1076.377,11.36525,-1.09872,-5.4936,9.88848,19
1076417,1076.401,8.930182,-0.31392,-5.02272,7.37712,19
1076441,1076.425,9.019398,0.15696,-4.7088,7.691041,19
1076500,1076.485,8.435049,1.5696,-3.45312,7.53408,19
1076525,1076.509,8.314437,2.19744,-5.17968,6.12144,19
1076549,1076.533,7.697444,3.924,-3.45312,5.65056,19
1076573,1076.557,12.54306,8.789761,-5.4936,7.0632,19
1076597,1076.581,17.53251,13.3416,-7.22016,8.789761,19
1076657,1076.641,10.77093,9.417601,-3.45312,3.924,19
1076681,1076.665,10.95914,10.2024,-2.66832,2.98224,19
1076705,1076.689,9.843533,9.57456,-2.19744,0.62784,19
1076729,1076.713,4.888492,4.86576,0.0,-0.47088,19
1076756,1076.737,9.223321,9.103681,-1.25568,-0.7848001,19
1076817,1076.801,8.231052,7.691041,0.7848001,2.82528,19
1076841,1076.825,10.69404,9.88848,1.88352,3.61008,19
1076866,1076.849,10.48465,9.88848,2.04048,2.82528,19
1076889,1076.873,9.813453,9.103681,2.51136,2.66832,19
1076912,1076.897,9.992573,9.103681,2.66832,3.1392,19
1076973,1076.957,9.822236,8.475841,4.08096,2.82528,19
1076997,1076.981,10.23134,8.632801,4.7088,2.82528,19
1077022,1077.005,10.32721,8.475841,5.17968,2.82528,19
1077045,1077.029,10.3653,8.475841,5.33664,2.66832,19
1077085,1077.069,10.20361,7.691041,6.2784,2.3544,19
1077121,1077.105,9.739112,7.0632,6.2784,2.3544,19
1077146,1077.129,9.999967,6.74928,6.74928,2.98224,19
1077168,1077.153,10.28058,6.43536,7.37712,3.1392,19
1077192,1077.177,10.51749,6.2784,8.00496,2.66832,19
1077253,1077.237,9.988873,4.55184,8.31888,3.1392,19
1077278,1077.261,10.11631,4.23792,8.632801,3.1392,19
1077301,1077.285,10.96588,4.08096,9.57456,3.45312,19
1077324,1077.309,11.13089,3.76704,9.88848,3.45312,19
1077349,1077.333,10.17823,2.82528,9.260641,3.1392,19
1077410,1077.393,10.34627,2.04048,9.417601,3.76704,19
1077433,1077.417,10.42101,2.82528,9.417601,3.45312,19
1077456,1077.441,10.13091,2.98224,9.103681,3.29616,19
1077481,1077.465,10.65133,3.1392,9.57456,3.45312,19
1077505,1077.489,10.51046,3.1392,9.417601,3.45312,19
1077566,1077.549,10.41392,2.98224,9.417601,3.29616,19
1077589,1077.573,10.27219,2.98224,9.260641,3.29616,19
1077612,1077.597,10.18306,2.98224,9.103681,3.45312,19
1077637,1077.621,10.45995,3.1392,9.417601,3.29616,19
1077661,1077.645,10.62933,2.66832,9.57456,3.76704,19
1077720,1077.705,10.37006,2.82528,9.417601,3.29616,19
1077746,1077.729,10.51046,3.1392,9.417601,3.45312,19
1077769,1077.753,10.42101,2.82528,9.417601,3.45312,19
1077793,1077.777,10.37006,3.1392,9.260641,3.45312,19
1077817,1077.801,10.23736,2.66832,9.260641,3.45312,19
1077877,1077.861,10.32363,2.98224,9.260641,3.45312,19
1077901,1077.885,10.17822,3.1392,9.103681,3.29616,19
1077926,1077.909,10.27938,2.82528,9.260641,3.45312,19
1077949,1077.933,10.65133,3.1392,9.57456,3.45312,19
1078009,1077.993,10.37718,2.98224,9.260641,3.61008,19
1078033,1078.017,10.56307,2.82528,9.57456,3.45312,19
1078058,1078.041,10.45995,3.1392,9.417601,3.29616,19
1078081,1078.065,10.41392,2.98224,9.417601,3.29616,19
1078107,1078.089,10.22773,2.82528,9.260641,3.29616,19
1078169,1078.153,10.51749,2.98224,9.417601,3.61008,19
1078195,1078.177,10.27938,2.82528,9.260641,3.45312,19
1078221,1078.205,10.42101,2.82528,9.417601,3.45312,19
1078244,1078.229,10.69864,2.98224,9.731521,3.29616,19
1078269,1078.253,10.51749,2.98224,9.417601,3.61008,19
1078438,1078.421,10.47407,2.82528,9.417601,3.61008,19
1078460,1078.445,10.17823,2.82528,9.260641,3.1392,19
1078486,1078.469,10.46466,2.98224,9.417601,3.45312,19
1078509,1078.493,10.51281,2.82528,9.57456,3.29616,19
1078534,1078.517,10.47407,2.82528,9.417601,3.61008,19
1078593,1078.577,10.5584,3.29616,9.417601,3.45312,19
1078617,1078.601,10.22773,2.82528,9.260641,3.29616,19
1078641,1078.625,10.32124,2.82528,9.417601,3.1392,19
1078666,1078.649,10.60613,2.98224,9.57456,3.45312,19
1078689,1078.673,10.41865,3.29616,9.260641,3.45312,19
1078749,1078.733,10.79949,2.98224,9.731521,3.61008,19
1078773,1078.757,10.46466,2.98224,9.417601,3.45312,19
1078798,1078.781,10.27938,2.82528,9.260641,3.45312,19
1078822,1078.805,10.32363,2.98224,9.260641,3.45312,19
1078881,1078.865,10.47171,2.66832,9.57456,3.29616,19
1078905,1078.889,10.46466,2.98224,9.417601,3.45312,19
1078930,1078.913,10.50812,2.98224,9.57456,3.1392,19
1078953,1078.937,10.17823,2.82528,9.260641,3.1392,19
1078978,1078.962,10.37006,2.82528,9.417601,3.29616,19
1079037,1079.021,10.33317,2.82528,9.260641,3.61008,19
1079062,1079.045,10.22291,2.98224,9.260641,3.1392,19
